Column1,Column2,Column3,Column4
," (2,6,6-TRIMETHYL-2-HYDROXYCYCLOHEXYLIDENE)ACETIC ACID GAMMA-LACTONE"," &diams; (2,6,6-TRIMETHYL-2-HYDROXYCYCLOHEXYLIDENE)ACETIC ACID GAMMA-LACTONE<br />&diams; DIHYDROACTINIDIOLIDE, (+-)-<br />&diams; 2-HYDROXY-2,6,6-TRIMETHYLCYCLOHEXYLIDENE-1-ACETIC ACID LACTONE<br />&diams; 2(4H)-BENZOFURANONE, 5,6,7,7A-TETRAHYDRO-4,4,7A-TRIMETHYL-<br />&diams; 5,6,7,7A-TETRAHYDRO-4,4,7A-TRIMETHYL-2(4H)-BENZOFURANONE", FLAVORING AGENT OR ADJUVANT
, 1-(2-FURFURYLTHIO)PROPANONE," &diams; (FURFURYLTHIO)ACETONE<br />&diams; 2-propanone, 1-((2-furanylmethyl)thio)-<br />&diams; 1-((2-furanylmethyl)thio)-2-propanone<br />&diams; 1-(furfurylthio)propanone", FLAVORING AGENT OR ADJUVANT
, 1-METHYLTHIO-2-PROPANONE," &diams; (METHYLTHIO)ACETONE<br />&diams; 2-PROPANONE, 1-(METHYLTHIO)-<br />&diams; 1-(METHYLTHIO)-2-PROPANONE<br />&diams; 2-PROPANONE, (METHYLTHIO)-<br />&diams; (METHYLTHIO)-2-PROPANONE<br />&diams; ALPHA-(METHYLTHIO)ACETONE<br />&diams; ALPHA-(METHYLTHIO)PROPANONE<br />&diams; 2-THIA-4-PENTANONE", FLAVORING AGENT OR ADJUVANT
, PYRAZINYL METHYL SULFIDE," &diams; (METHYLTHIO)PYRAZINE<br />&diams; METHYL PYRAZINYL SULFIDE<br />&diams; 2-METHYLMERCAPTOPYRAZINE<br />&diams; PYRAZINYL METHYL SULFIDE<br />&diams; 2-METHYLTHIOPYRAZINE<br />&diams; PYRAZINE, (METHYLTHIO)-", FLAVORING AGENT OR ADJUVANT
," 1-(2-FURYL)-1,3-BUTANEDIONE"," &diams; 1-(2-FURYL)-1,3-BUTANEDIONE<br />&diams; FURFURYL-1,3-BUTANEDIONE<br />&diams; FUROYL ACETONE<br />&diams; 2-FUROYLACETONE<br />&diams; 1,3-BUTANEDIONE, 1-(2-FURANYL)-<br />&diams; 1-(2-FURANYL)-1,3-BUTANEDIONE<br />&diams; 1,3-BUTANEDIONE, 1-(2-FURYL)-",
, 1-(2-HYDROXY-4-ISOBUTOXYPHENYL)-3-(PYRIDIN-2-YL)PROPAN-1-ONE," &diams; 1-(2-HYDROXY-4-ISOBUTOXYPHENYL)-3-(PYRIDIN-2-YL)PROPAN-1-ONE<br />&diams; 1-(2-hydroxy-4-isobutoxyphenyl)-3-(2-pyridinyl)-1-propanone<br />&diams; 1-(2-hydroxy-4-(2-methylpropoxy)phenyl)-3-(2-pyridinyl)-1-propanone<br />&diams; 1-propanone, 1-(2-hydroxy-4-(2-methylpropoxy)phenyl)-3-(2-pyridinyl)-", FLAVORING AGENT OR ADJUVANT
, 1-(2-HYDROXY-4-METHOXYPHENYL)-3-(PYRIDIN-2-YL)PROPAN-1-ONE," &diams; 1-(2-HYDROXY-4-METHOXYPHENYL)-3-(PYRIDIN-2-YL)PROPAN-1-ONE<br />&diams; 1-(2-hydroxy-4-methoxyphenyl)-3-(2-pyridinyl)-1-propanone<br />&diams; 1-propanone, 1-(2-hydroxy-4-methoxyphenyl)-3-(2-pyridinyl)-", FLAVORING AGENT OR ADJUVANT
, 1-(2-HYDROXYPHENYL)-3-(PYRIDIN-4-YL)PROPAN-1-ONE," &diams; 1-(2-HYDROXYPHENYL)-3-(4-PYRIDINYL)-1-PROPANONE<br />&diams; 1-(2-hydroxyphenyl)-3-(pyridin-4-yl)propan-1-one<br />&diams; 1-propanone, 1-(2-hydroxyphenyl)-3-(4-pyridinyl)-<br />&diams; 1-(2-hydroxyphenyl)-3-(4-pyridinyl)-1-propanone", FLAVORING AGENT OR ADJUVANT
, 1-(2-THIENYL)ETHANETHIOL," &diams; 1-(2-THIENYL)ETHANETHIOL<br />&diams; 2-thiophenemethanethiol, alpha-methyl-<br />&diams; alpha-methyl-2-thiophenemethanethiol<br />&diams; 1-(2'-thienyl)ethylmercaptan", FLAVORING AGENT OR ADJUVANT
, 1-(3-HYDROXY-5-METHYL-2-THIENYL)ETHANONE," &diams; 1-(3-HYDROXY-5-METHYL-2-THIENYL)ETHANONE<br />&diams; ethanone, 1-(3-hydroxy-5-methyl-2-thienyl)-", FLAVORING AGENT OR ADJUVANT
, 1-(4-METHOXYPHENYL)-4-METHYL-1-PENTEN-3-ONE," &diams; 1-(4-METHOXYPHENYL)-4-METHYL-1-PENTEN-3-ONE<br />&diams; ALPHA,ALPHA-DIMETHYLANISALACETONE<br />&diams; ISOPROPYL 4-METHOXYSTYRYL KETONE<br />&diams; METHOXYSTYRYL ISOPROPYL KETONE<br />&diams; 1-PENTEN-3-ONE, 1-(4-METHOXYPHENYL)-4-METHYL-<br />&diams; 1-PENTEN-3-ONE, 1-(P-METHOXYPHENYL)-4-METHYL-", FLAVORING AGENT OR ADJUVANT
, 3-NONANON-1-YL ACETATE," &diams; 1-(ACETYLOXY)-3-NONANONE<br />&diams; 1-HYDROXY-3-NONANONE ACETATE<br />&diams; 3-NONANONE, 1-(ACETYLOXY)-<br />&diams; 3-NONANONE, 1-HYDROXY, ACETATE<br />&diams; 3-OXONONANYL ACETATE<br />&diams; METHYLOL METHYL HEXYL KETONE ACETATE", FLAVORING AGENT OR ADJUVANT
, 1-(METHYLDITHIO)-2-PROPANONE," &diams; 1-(METHYLDITHIO)-2-PROPANONE<br />&diams; 2-propanone, 1-(methyldithio)-", FLAVORING AGENT OR ADJUVANT
, 1-(METHYLTHIO)-2-BUTANONE," &diams; 1-(METHYLTHIO)-2-BUTANONE<br />&diams; 2-BUTANONE, 1-(METHYLTHIO)-<br />&diams; 1-METHYLTHIO-2-BUTANONE", FLAVORING AGENT OR ADJUVANT
, 1-(METHYLTHIO)-3-OCTANONE," &diams; 1-(METHYLTHIO)-3-OCTANONE<br />&diams; 3-octanone, 1-(methylthio)-", FLAVORING AGENT OR ADJUVANT
, 1-(P-METHOXYPHENYL)-1-PENTEN-3-ONE," &diams; 1-(P-METHOXYPHENYL)-1-PENTEN-3-ONE<br />&diams; ALPHA-METHYLANISALACETONE<br />&diams; ALPHA-METHYLANISYLIDENEACETONE<br />&diams; ETHONE<br />&diams; METHOXYSTYRYL ETHYL KETONE, P-<br />&diams; 1-PENTEN-3-ONE, 1-(4-METHOXYPHENYL)-<br />&diams; 1-(4-METHOXYPHENYL)-1-PENTEN-3-ONE<br />&diams; 1-PENTEN-3-ONE, 1-(P-METHOXYPHENYL)-<br />&diams; 1-P-METHOXYPHENYLPENT-1-EN-3-ONE", FLAVORING AGENT OR ADJUVANT
, 1-(P-METHOXYPHENYL)-2-PROPANONE," &diams; 1-(P-METHOXYPHENYL)-2-PROPANONE<br />&diams; ANISYL METHYL KETONE<br />&diams; ANISIC KETONE<br />&diams; (P-METHOXYPHENYL)-2-PROPANONE<br />&diams; ANISKETONE<br />&diams; METHOXYPHENYLACETONE, P-<br />&diams; METHOXYBENZYL METHYL KETONE, P-<br />&diams; 2-PROPANONE, 1-(4-METHOXYPHENYL)-<br />&diams; 1-(4-METHOXYPHENYL)-2-PROPANONE<br />&diams; 2-PROPANONE, 1-(P-METHOXYPHENYL)-<br />&diams; 1-(P-ANISYL)-2-PROPANONE<br />&diams; 4-METHOXYPHENYLACETONE<br />&diams; 4-METHOXYBENZYL METHYL KETONE", FLAVORING AGENT OR ADJUVANT
, CHLOROFLUOROCARBON 113," &diams; 1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE<br />&diams; FLUOROCARBON 113<br />&diams; ETHANE, 1,1,2-TRICHLORO-1,2,2-TRIFLUORO-<br />&diams; CHLOROFLUOROCARBON 113<br />&diams; PROPELLANT 113<br />&diams; REFRIGERANT 113"," FREEZING OR COOLING AGENT,<br /> DIRECT CONTACT"
, BUTANAL DIBENZYL THIOACETAL," &diams; 1,1-BIS(BENZYLTHIO)BUTANE<br />&diams; butyraldehyde, dibenzyl mercaptal<br />&diams; dibenzyl mercaptal butyraldehyde<br />&diams; butanal dibenzyl thioacetal", FLAVORING AGENT OR ADJUVANT
," 1,1-DIMETHOXYETHANE"," &diams; 1,1-DIMETHOXYETHANE<br />&diams; ACETALDEHYDE DIMETHYL ACETAL<br />&diams; DIMETHYLACETAL<br />&diams; ETHYLIDENE DIMETHYL ETHER<br />&diams; ETHANE, 1,1-DIMETHOXY-<br />&diams; ACETALDEHYDE METHYL ACETAL<br />&diams; 3-METHYL-2,4-DIOXAPENTANE", FLAVORING AGENT OR ADJUVANT
, OCTANAL DIMETHYL ACETAL," &diams; 1,1-DIMETHOXYOCTANE<br />&diams; OCTANAL DIMETHYL ACETAL<br />&diams; CAPRYLALDEHYDE DIMETHYL ACETAL<br />&diams; C-8 DIMETHYLACETAL<br />&diams; OCTALDEHYDE DIMETHYL ACETAL<br />&diams; OCTANE, 1,1-DIMETHOXY-<br />&diams; OCTANAL, DIMETHYL ACETAL", FLAVORING AGENT OR ADJUVANT
, DIMETHYLBENZYL CARBINYL CROTONATE," &diams; 1,1-DIMETHYL-2-PHENYLETHYL 2-BUTENOATE<br />&diams; 2-butenoic acid, 1,1-dimethyl-2-phenylethyl ester<br />&diams; dimethylbenzylcarbinyl crotonate<br />&diams; benzyldimethylcarbinyl crotonate<br />&diams; InChI=1/C14H18O2/c1-4-8-13(15)16-14(2,3)11-12-9-6-5-7-10-12/h4-10H,11H2,1-3H3<br />&diams; InChIKey: OKLPIYCKVVLHCP-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, DIMETHYLBENZYL CARBINYL HEXANOATE," &diams; 1,1-DIMETHYL-2-PHENYLETHYL HEXANOATE<br />&diams; hexanoic acid, 1,1-dimethyl-2-phenylethyl ester<br />&diams; 1,1-dimethyl-2-phenethyl hexanoate<br />&diams; dimethylbenzylcarbinyl hexanoate<br />&diams; dimethyl benzyl carbinyl hexanoate", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-4-PHENYL-2-BUTANOL," &diams; 1,1-DIMETHYL-3-PHENYL-1-PROPANOL<br />&diams; BENZENEPROPANOL, ALPHA,ALPHA-DIMETHYL-<br />&diams; ALPHA,ALPHA-DIMETHYLBENZENEPROPANOL<br />&diams; BENZYL-TERT-BUTANOL<br />&diams; PHENETHYL DIMETHYL CARBINOL<br />&diams; 2-METHYL-4-PHENYL-2-BUTANOL<br />&diams; 2-BUTANOL, 2-METHYL-4-PHENYL-<br />&diams; 2-(2-PHENYLETHYL)-2-PROPANOL<br />&diams; 1,1-DIMETHYL-3-PHENYLPROPYL ALCOHOL<br />&diams; 2-PHENETHYL-2-PROPANOL", FLAVORING AGENT OR ADJUVANT
, 2-METHYL-4-PHENYL-2-BUTYL ACETATE," &diams; 1,1-DIMETHYL-3-PHENYLPROPYL ACETATE<br />&diams; BENZENEPROPANOL, ALPHA,ALPHA-DIMETHYL-, ACETATE<br />&diams; ALPHA,ALPHA-DIMETHYLBENZENEPROPYL ACETATE<br />&diams; DIMETHYLPHENYLETHYLCARBINYL ACETATE<br />&diams; DMPEC ACETATE<br />&diams; DIMETHYLPHENETHYLCARBINYL ACETATE<br />&diams; PHENYLETHYL DIMETHYL CARBINYL ACETATE<br />&diams; 2-METHYL-4-PHENYL-2-BUTYL ACETATE<br />&diams; 2-BUTANOL, 2-METHYL-4-PHENYL-, ACETATE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, 2-METHYL-4-PHENYL-2-BUTYL ISOBUTYRATE," &diams; 1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE<br />&diams; DIMETHYL(PHENYLETHYL)CARBINYL ISOBUTYRATE<br />&diams; DIMETHYL PHENETHYL CARBINYL ISOBUTYRATE<br />&diams; DMPEC ISOBUTYRATE<br />&diams; DMPEC 2-METHYLPROPANOATE<br />&diams; DIMETHYLPHENYL ETHYLCARBINYL ISOBUTYRATE<br />&diams; ISOBUTYRIC ACID, 1,1-DIMETHYL-3-PHENYLPROPYL ESTER<br />&diams; PHENYLETHYL DIMETHYL CARBINYL ISOBUTYRATE<br />&diams; PROPANOIC ACID, 2-METHYL-, 1,1-DIMETHYL-3-PHENYLPROPYL ESTER<br />&diams; 2-METHYL-4-PHENYL-2-BUTYL ISOBUTYRATE<br />&diams; 2-METHYL-4-PHENYL-2-BUTYL 2-METHYLPROPANOATE<br />&diams; 1,1-DIMETHYL-3-PHENYLPROPYL 2-METHYLPROPANOATE", FLAVORING AGENT OR ADJUVANT
," ETHANE-1,1-DITHIOL"," &diams; 1,1-ETHANEDITHIOL<br />&diams; ethane-1,1-dithiol", FLAVORING AGENT OR ADJUVANT
," 1,1-PROPANEDITHIOL"," &diams; 1,1-PROPANEDITHIOL<br />&diams; 1,1-dimercaptopropane", FLAVORING AGENT OR ADJUVANT
," 1,2,3-TRIS((1'-ETHOXY)ETHOXY)-PROPANE"," &diams; 1,2,3-TRIS((1-ETHOXY)ETHOXY)PROPANE<br />&diams; 3,5,9,11-TETRAOXATRIDECANE, 7-(1-ETHOXYETHOXY)-4-10-DIMETHYL-<br />&diams; 7-(1-ETHOXYETHOXY)-4,10-DIMETHYL-3,5,9,11-TETRAOXATRIDECANE", FLAVORING AGENT OR ADJUVANT
," 1,2,5,6-TETRAHYDROCUMINIC ACID"," &diams; 1,2,5,6-TETRAHYDROCUMINIC ACID<br />&diams; 3-CYCLOHEXENE-1-CARBOXYLIC ACID, 4-(1-METHYLETHYL)-<br />&diams; 3-CYCLOHEXENE-1-CARBOXYLIC ACID, 4-ISOPROPYL-<br />&diams; 4-(1-METHYLETHYL)-3-CYCLOHEXENE-1-CARBOXYLIC ACID<br />&diams; 4-ISOPROPYL-3-CYCLOHEXENE-1-CARBOXYLIC ACID", FLAVORING AGENT OR ADJUVANT
," 1,2-BUTANEDITHIOL"," &diams; 1,2-BUTANEDITHIOL<br />&diams; 1,2-DIMERCAPTOBUTANE<br />&diams; 1,2-DITHIOLBUTANE<br />&diams; 1-ETHYL-1,2-ETHANEDITHIOL"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
," 1,2-(DI(1'-ETHOXY)ETHOXY)PROPANE"," &diams; 1,2-DI((1-ETHOXY)ETHOXY)PROPANE<br />&diams; 3,5,8,10-TETRAOXYDODECANE, 4,6,9-TRIMETHYL-<br />&diams; 4,6,9-TRIMETHYL-3,5,8,10-TETRAOXADODECANE", FLAVORING AGENT OR ADJUVANT
," (+/-)-CIS- AND TRANS-1,2-DIHYDROPERILLALDEHYDE"," &diams; 1,2-DIHYDROPERILLALDEHYDE<br />&diams; 4-isopropenylcyclohexanecarboxaldehyde<br />&diams; cyclohexanecarboxaldehyde, 4-(1-methylethenyl)-<br />&diams; 4-(1-methylethenyl)cyclohexanecarboxaldehyde", FLAVORING AGENT OR ADJUVANT
," 1,2-ETHANEDITHIOL"," &diams; 1,2-ETHANEDITHIOL<br />&diams; 1,2-DIMERCAPTOETHANE<br />&diams; DITHIOGLYCOL<br />&diams; ETHYLENE DIMERCAPTAN<br />&diams; ETHYLENE DITHIOGLYCOL<br />&diams; ETHYLENE MERCAPTAN", FLAVORING AGENT OR ADJUVANT
," 1,2-PROPANEDITHIOL"," &diams; 1,2-PROPANEDITHIOL<br />&diams; 1,2-DIMERCAPTOPROPANE<br />&diams; 1-METHYL-1,2-ETHANEDITHIOL", FLAVORING AGENT OR ADJUVANT
," 1,3,5,7-UNDECATETRAENE"," &diams; 1,3,5,7-UNDECATRIENE", FLAVORING AGENT OR ADJUVANT
," 1,3,5-UNDECATRIENE"," &diams; 1,3,5-UNDECATRIENE", FLAVORING AGENT OR ADJUVANT
," 1,3-BUTANEDITHIOL"," &diams; 1,3-BUTANEDITHIOL<br />&diams; 1,3-DIMERCAPTOBUTANE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
," 1,3-BUTYLENE GLYCOL"," &diams; 1,3-BUTYLENE GLYCOL<br />&diams; 1,3-BUTANEDIOL<br />&diams; BETA-BUTYLENE GLYCOL<br />&diams; 1,3-DIHYDROXYBUTANE<br />&diams; 1-METHYL-1,3-PROPANEDIOL<br />&diams; 3-HYDROXY-1-BUTANOL<br />&diams; METHYLTRIMETHYLENE GLYCOL"," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE"
, M-DIMETHOXYBENZENE," &diams; 1,3-DIMETHOXYBENZENE<br />&diams; DIMETHYL RESORCINOL<br />&diams; METHOXYANISOLE, M-<br />&diams; RESORCINOL DIMETHYL ETHER<br />&diams; DIMETHOXYBENZENE, M-<br />&diams; BENZENE, 1,3-DIMETHOXY-<br />&diams; BENZENE, M-DIMETHOXY-", FLAVORING AGENT OR ADJUVANT
," 1,3-DIPHENYL-2-PROPANONE"," &diams; 1,3-DIPHENYL-2-PROPANONE<br />&diams; ALPHA,ALPHA'-DIPHENYLACETONE<br />&diams; BENZYL KETONE<br />&diams; 2-PROPANONE, 1,3-DIPHENYL-<br />&diams; 1,3-DIPHENYLACETONE<br />&diams; 1,3-DIPHENYLPROPANONE", FLAVORING AGENT OR ADJUVANT
, COCOA BUTTER SUBSTITUTE PRIMARILY FROM HIGH-OLEIC SAFFLOWER OR SUNFLOWER OIL," &diams; 1,3-DISTEARO-2-OLEIN<br />&diams; 1,3-DISTEAROYL-2-OLEIN<br />&diams; 2-OLEO-1,3-DISTEARIN<br />&diams; 9-OCTADECENOIC ACID (Z)-, 2-((1-OXOOCTADECYL)OXY)-1-(((1-OXOOCTADECYL)OXY)METHYL)ETHYL ESTER<br />&diams; 2-((1-OXOOCTADECYL)OXY)-1-(((1-OXOOCTADECYL)OXY)METHYL)ETHYL 9-OCTADECENOATE, (Z)-<br />&diams; OLEIN, 1,3-DISTEARO-2-<br />&diams; COCOA BUTTER SUBSTITUTE PRIMARILY FROM HIGH-OLEIC SAFFLOWER OR SUNFLOWER OIL<br />&diams; 2-OLEOYLDISTEARIN<br />&diams; 2-OEOYL-1,3-DISTEARIN", SURFACE-FINISHING AGENT
," 1,3-NONANEDIOL ACETATE (MIXED ESTERS)"," &diams; 1,3-NONANEDIOL ACETATE<br />&diams; HEXYLENE GLYCOL DIACETATE<br />&diams; NONANE DIACETATE<br />&diams; OCTYL CROTONYL ACETATE<br />&diams; 1,3-NONANEDIOL, MONOACETATE<br />&diams; 1,3-NONANEDIOL MONOACETATE", FLAVORING AGENT OR ADJUVANT
," 1,3-PROPANEDITHIOL"," &diams; 1,3-PROPANEDITHIOL<br />&diams; 1,3-DIMERCAPTOPROPANE<br />&diams; TRIMETHYLENE DIMERCAPTAN", FLAVORING AGENT OR ADJUVANT
," 1,4-CINEOLE"," &diams; 1,4-CINEOLE<br />&diams; 1,4-EPOXY-P-MENTHANE<br />&diams; 7-OXABICYCLO(2.2.1)HEPTANE, 1-METHYL-4-(1-METHYLETHYL)-<br />&diams; 1-METHYL-4-(1-METHYLETHYL)-7-OXABICYCLO(2.2.1)HEPTANE<br />&diams; P-MENTHANE, 1,4-EPOXY-<br />&diams; 7-OXABICYCLO(2.2.1)HEPTANE, 1-ISOPROPYL-4-METHYL-<br />&diams; 1-ISOPROPYL-4-METHYL-7-OXABICYCLO(2.2.1)HEPTANE<br />&diams; ISOCINEOLE", FLAVORING AGENT OR ADJUVANT
, P-DIMETHOXYBENZENE," &diams; 1,4-DIMETHOXYBENZENE<br />&diams; DIMETHYL HYDROQUINONE<br />&diams; HYDROQUINONE DIMETHYL ETHER<br />&diams; METHOXYANISOLE, P-<br />&diams; DMB<br />&diams; BENZENE, 1,4-DIMETHOXY-<br />&diams; BENZENE, P-DIMETHOXY-<br />&diams; QUINOL DIMETHYL ETHER<br />&diams; 4-METHOXYANISOLE<br />&diams; METHYL P-METHOXYPHENYL ETHER<br />&diams; 1,4-DIMETHOXYBENZOL", FLAVORING AGENT OR ADJUVANT
," 1,4-DIMETHYL-4-ACETYL-1-CYCLOHEXENE"," &diams; 1,4-DIMETHYL-3-CYCLOHEXENYL METHYL KETONE<br />&diams; ETHANONE, 1-(1,4-DIMETHYL-3-CYCLOHEXEN-1-YL)-<br />&diams; 1-(1,4-DIMETHYL-3-CYCLOHEXEN-1-YL)ETHANONE<br />&diams; 1,4-DIMETHYL-4-ACETYLCYCLOHEXENE<br />&diams; 1,4-DIMETHYL-4-ACETYL-1-CYCLOHEXENE<br />&diams; 1,4-DIMETHYLCYCLOHEX-3-ENYL METHYL KETONE<br />&diams; 4-ACETYL-1,4-DIMETHYL-1-CYCLOHEXENE", FLAVORING AGENT OR ADJUVANT
," 1,4-DITHIANE"," &diams; 1,4-DITHIANE<br />&diams; NSC-24178<br />&diams; 1,4-DITHIACYCLOHEXANE<br />&diams; P-DITHIANE<br />&diams; DIETHYLENE DISULFIDE<br />&diams; TETRAHYDRO-1,4-DITHIIN<br />&diams; DITHIANE, P-", FLAVORING AGENT OR ADJUVANT
," 1,4-NONANEDIOL DIACETATE"," &diams; 1,4-NONANEDIOL DIACETATE<br />&diams; NONANEDIOL-1,4-ACETATE<br />&diams; 1,4-NONADIOL DIACETATE<br />&diams; 1,4-NONANEDIOL, DIACETATE", FLAVORING AGENT OR ADJUVANT
," 1,5,5,9-TETRAMETHYL-13-OXATRICYCLO(8.3.0.0(4,9))TRIDECANE"," &diams; 1,5,5,9-TETRAMETHYL-13-OXATRICYCLO(8.3.0.0(SUP 4,9))TRIDECANE<br />&diams; AMBROXIDE<br />&diams; DODECAHYDRO-3A,6,6,9A-TETRAMETHYLNAPHTHO(2,1-B)FURAN, (3AR-(3AALPHA,5ABETA,9AALPHA,9BBETA))-<br />&diams; NAPHTHO(2,1-B)FURAN, DODECAHYDRO-3A,6,6,9A-TETRAMETHYL-, (3AR-(3AALPHA,5ABETA,9AALPHA,9BBETA))-"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
," 1,5-OCTADIEN-3-ONE"," &diams; 1,5-OCTADIEN-3-ONE<br />&diams; InChI=1S/C8H12O/c1-3-5-6-7-8(9)4-2/h4-6H,2-3,7H2,1H3<br />&diams; InChIKey: VWYBQOFZVSNDAW-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, DIHYDROCARVEOL," &diams; 1,6-DIHYDROCARVEOL<br />&diams; 8-P-MENTHEN-2-OL<br />&diams; 6-METHYL-3-ISOPROPENYLCYCLOHEXANOL<br />&diams; DIHYDROCARVEOL<br />&diams; 2-METHYL-5-(1-METHYLETHENYL)CYCLOHEXANOL<br />&diams; CYCLOHEXANOL, 2-METHYL-5-(1-METHYLETHENYL)-<br />&diams; P-MENTH-8-EN-2-OL", FLAVORING AGENT OR ADJUVANT
," 1,6-HEXANEDITHIOL"," &diams; 1,6-HEXANEDITHIOL<br />&diams; 1,6-DIMERCAPTOHEXANE<br />&diams; HEXAMETHYLENE DIMERCAPTAN<br />&diams; 1,6-HEXANEDIMERCAPTAN<br />&diams; 1,6-HEXAMETHYLENEDITHIOL"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE"
," 1,8-OCTANEDITHIOL"," &diams; 1,8-OCTANEDITHIOL<br />&diams; 1,8-DIMERCAPTOOCTANE<br />&diams; OCTAMETHYLENE DIMERCAPTAN<br />&diams; 1,8-OCTAMETHYLENEDITHIOL", FLAVORING AGENT OR ADJUVANT
," 1,9-NONANEDITHIOL"," &diams; 1,9-NONANEDITHIOL<br />&diams; 1,9-DIMERCAPTONONANE<br />&diams; NONAMETHYLENE DIMERCAPTAN", FLAVORING AGENT OR ADJUVANT
, 10-UNDECEN-1-YL ACETATE," &diams; 10-UNDECEN-1-YL ACETATE<br />&diams; ACETATE C-11<br />&diams; UNDECENYL ACETATE<br />&diams; UNDECYLENYL ACETATE<br />&diams; 10-HENDECENYL ACETATE<br />&diams; 10-UNDECENYL ACETATE<br />&diams; 10-UNDECEN-1-OL, ACETATE", FLAVORING AGENT OR ADJUVANT
, 10-UNDECEN-2-ONE," &diams; 10-UNDECEN-2-ONE<br />&diams; InChI=1S/C11H20O/c1-3-4-5-6-7-8-9-10-11(2)12/h3H,1,4-10H2,2H3<br />&diams; InChIKey=FJHNSGVMPSITEQ-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 10-UNDECENAL, &diams; 10-UNDECENAL<br />&diams; 10-HENDECENAL, FLAVORING AGENT OR ADJUVANT
